user,item,rating,time
2,4520,2,1497361148
3,1283,2,1337621193
3,3244,2,1340650648
5,5665,1,1438277959
5,9079,1,1433179205
11,9285,1,1426993944
13,3882,1,1320988807
18,128,2,1513905317
18,3657,1,1519257123
22,8284,1,1494873980
24,7296,1,1533744599
25,5085,2,1505165268
26,6004,1,1514855858
27,7667,2,1528827159
31,5959,1,1583789651
36,1559,1,1573269648
36,3638,1,1584289135
40,2912,1,1415749220
42,775,2,1218187742
42,6921,2,1219180070
42,7890,1,1218056990
45,2845,2,1273875320
48,1074,1,1443214860
52,6031,1,1331919999
56,2912,1,1404023232
59,689,1,1393686926
59,6460,2,1368896570
60,2966,2,1383150509
60,5915,1,1354475547
65,7160,1,1540685134
66,802,2,1407585726
70,2368,1,1519228843
70,6888,1,1534002543
70,7710,2,1401233257
70,8476,1,1440622776
73,7248,1,1512314128
74,2912,2,1348199888
74,3882,2,1348200266
75,761,1,1543696295
76,47,2,1476930333
76,4453,1,1516814780
76,6975,2,1468638791
77,3292,1,1628567516
78,2912,2,1515427046
78,3882,2,1515427158
83,2817,2,1318356862
83,6916,2,1318358534
84,2902,1,1362863609
95,7138,1,1567200026
96,4190,2,1378854460
99,8490,2,1439817565
103,2918,1,1557152096
109,2546,2,1602029523
113,8329,2,1392772580
115,4653,1,1375390784
116,5042,1,1343427763
116,5506,2,1453680550
117,9349,1,1626552578
120,4159,1,1624674040
121,6699,2,1479350981
125,1648,2,1574578633
130,1133,2,1340494123
131,5247,2,1398640656
133,7265,1,1412647578
137,9350,2,1424832051
140,3400,1,1346834345
141,949,1,1236870580
148,3808,1,1459644994
154,4082,1,1528071675
154,4351,2,1530051274
154,4351,1,1534096976
154,4908,1,1517792219
154,4943,1,1512408778
154,5723,1,1514836278
154,8136,2,1534095612
156,6358,1,1398443797
158,1124,2,1486853254
159,8940,1,1618361889
160,1214,2,1355161195
160,3288,2,1422052153
162,3592,1,1628887404
163,8974,1,1530065213
164,7230,1,1624244147
166,7168,1,1467323359
168,8376,1,1445736367
170,2115,1,1547697883
170,2265,1,1439159617
172,1637,2,1495841525
172,6326,2,1503954683
172,7753,2,1473937070
172,7968,1,1564008885
175,2020,1,1446839399
175,2719,2,1490462300
179,1121,1,1620255883
179,9113,2,1294439048
184,6082,2,1557664561
193,7394,1,1432601037
194,7329,1,1287586720
198,8667,1,1633560491
202,2518,1,1399514430
204,7739,2,1410496460
205,2053,1,1482905117
206,1348,2,1249964454
210,1565,1,1569686884
210,1565,1,1532275619
210,7094,1,1538275167
214,9109,1,1422806527
215,1348,1,1475498311
218,5710,1,1482942482
219,5237,1,1419648623
222,2244,1,1614286662
224,3297,2,1495390332
225,8932,2,1451536384
234,3237,1,1569797083
236,4970,1,1455681886
250,2064,2,1304467759
251,7693,2,1518314725
254,3751,2,1362176174
254,7370,1,1357437802
258,1275,1,1561656240
266,2860,1,1591126180
266,8450,1,1591125991
270,8448,1,1610222992
272,255,2,1629224738
273,7932,1,1304908031
275,2610,1,1356319056
281,5772,1,1494025507
285,5286,1,1515552194
287,1293,2,1564178965
287,3816,2,1625937729
287,6184,1,1563206144
294,4188,1,1524515702
295,2731,1,1534904690
296,8453,1,1371393770
300,3699,2,1507658324
301,6163,1,1458078088
301,8821,1,1510985306
303,2336,1,1283024468
305,1738,1,1632524739
308,7467,1,1439476034
309,3153,1,1571442122
313,3882,1,1336183306
314,1390,1,1383958067
314,3869,1,1354043234
315,5140,2,1374810343
317,3198,1,1440775218
319,1808,1,1385937556
322,1156,1,1628695016
326,1981,1,1593964524
326,2083,1,1410730653
326,6039,1,1425575036
328,209,2,1536968170
328,2417,1,1548298122
331,8659,2,1506345548
338,6988,1,1475413732
343,1292,2,1315186663
343,7973,1,1315186386
343,7973,1,1315397083
349,5239,2,1271740737
352,831,1,1565795009
353,5004,1,1461519735
354,3505,2,1424118925
354,4263,2,1529457039
355,1184,1,1392075072
355,1266,1,1465393892
358,7738,1,1557536154
363,4965,1,1479135256
364,2044,1,1315263169
368,199,1,1338420758
373,337,2,1262916245
373,8252,2,1277641388
377,7589,2,1228148178
378,1182,2,1423710284
380,7001,1,1433873194
382,114,1,1408993383
387,1412,1,1476728335
388,354,1,1638562810
388,675,1,1564457734
388,1465,2,1458153560
388,2056,2,1473117180
388,2319,1,1591668097
388,2407,1,1508651031
388,6203,2,1526733340
388,9219,2,1566938877
390,1750,1,1397740798
396,3248,1,1313342196
398,526,1,1472610783
398,1620,2,1470284819
398,1635,2,1479278808
398,1896,2,1470284177
398,3338,2,1472610281
398,3424,2,1479786466
398,3539,1,1461314915
398,3653,2,1439596560
398,4507,2,1475734568
398,4522,1,1565566184
398,5024,1,1597275175
398,5337,1,1470283573
398,5778,1,1470283924
398,5907,2,1444686507
398,6105,2,1470284580
398,6354,1,1490157458
398,6904,1,1470958982
