model,lr,k,recall,precision,hit_ratio,epoch
TextLightGCN,0.01,5,0.0612800603878756,0.043245619544056126,0.1624065816743076,278
TextLightGCN,0.01,10,0.08674699402865166,0.03238711298122364,0.21026188532311751,296
TextLightGCN,0.01,20,0.11658169927474514,0.02341581360296633,0.2783395088865164,295
TextLightGCN,0.005,5,0.06558284486699087,0.047378006657037765,0.17427620423287069,292
TextLightGCN,0.005,10,0.09094360947632454,0.034830119952272275,0.22615085097029455,299
TextLightGCN,0.005,20,0.12258954704996952,0.02516485586887118,0.30101111599572944,300
TextLightGCN,0.001,5,0.020350765052547976,0.021214595239589948,0.0984111034352823,7
TextLightGCN,0.001,10,0.03279438428082526,0.01710732902091276,0.14946932110783143,7
TextLightGCN,0.001,20,0.050953402949744965,0.01411480248696908,0.22137788105256548,38
TextLightGCN,0.0005,5,0.019805180147925636,0.02048608930477869,0.09577340953337939,34
TextLightGCN,0.0005,10,0.03268727916811534,0.01728945550461562,0.15034855240846573,30
TextLightGCN,0.0005,20,0.05402617990459384,0.014833888086416532,0.2319914588959367,58
TextLightGCN,0.0001,5,0.02006478652056716,0.02071217735351322,0.0965270363624945,41
TextLightGCN,0.0001,10,0.03226720842228838,0.01728945550461561,0.14984613452238899,69
TextLightGCN,0.0001,20,0.05296125500696171,0.01471770395026126,0.2292281605225146,115
