model,embedding_dim,k,recall,precision,hit_ratio,epoch,lr
LightGCN,64,5,0.030729107183660922,0.013092742470478482,0.06180177789571448,3,0.05
LightGCN,64,10,0.04317481590316601,0.009889876608730678,0.09003582327185883,3,0.05
LightGCN,64,20,0.05908403621775374,0.007296006368582298,0.12591216664455354,3,0.05
LightGCN,128,5,0.00013489009774003805,6.36858166379196e-05,0.00031842908318959796,1,0.05
LightGCN,128,10,0.0008082418828355987,0.0002786254477908977,0.002759718720976516,1,0.05
LightGCN,128,20,0.0013772833298367783,0.00026270399363141855,0.005201008358763434,1,0.05
LightGCN,256,5,0.00013489009774003805,6.36858166379196e-05,0.00031842908318959796,1,0.05
LightGCN,256,10,0.0008082418828355987,0.0002786254477908977,0.002759718720976516,1,0.05
LightGCN,256,20,0.0013772833298367783,0.00026270399363141855,0.005201008358763434,1,0.05
LightGCN,896,5,0.00013489009774003805,6.36858166379196e-05,0.00031842908318959796,1,0.05
LightGCN,896,10,0.0008082418828355987,0.0002786254477908977,0.002759718720976516,1,0.05
LightGCN,896,20,0.0013772833298367783,0.00026270399363141855,0.005201008358763434,1,0.05
